集計値一覧 電力按分
出力日  2025年2月1日
指定月度  2025年 1月度
2025年 1月 1日 ～ 2025年 1月 31日
名称,前月使用量[kWh],今月使用量[kWh],前月比[%],前年同月比[%],停止時電力[Wh]
2F 7700-17,32.71,85.35,260.9,113.9,0
2F 7700-18,85.16,180.92,212.4,177.5,0
2F 7700-19,95.24,210.66,221.2,206.9,0
2F 7700-20,30.87,52.39,169.7,63.6,0
2F 7700-21,36.73,141.47,385.1,164.3,0
2F 7700-22,42.38,193.11,455.7,219.6,0
2F 7700-23,40.54,119.62,295.1,100.6,0
2F 7700-24,83.49,228.40,273.6,203.3,0
2F 7700-25,36.46,62.75,172.1,59.4,0
2F 7700-26,27.12,57.66,212.6,52.2,0
2F 7700-27,35.94,52.94,147.3,24.1,0
2F 7700-28,23.04,23.29,101.1,55.6,0
2F 7700-29,32.43,101.06,311.6,69.7,0
2F 7700-30,33.07,97.17,293.9,151.0,0
2F 7700-31,65.03,222.86,342.7,53.2,0
2F 7700-32,25.58,35.12,137.3,48.5,0
2F 7700-33,41.86,104.48,249.6,89.2,0
2F 7700-34,48.25,152.91,316.9,170.5,0
2F 7700-35,41.47,74.44,179.5,55.7,0
2F 7700-36,48.55,102.80,211.8,59.1,0
2F 7700-37,71.44,389.45,545.1,141.3,0
2F 7700-38,49.63,183.13,369.0,96.0,0
